,Animal,Day,Experimental condition,Stimulus class,Stimulus orientation,Frame,Width
531,Naive,D1,Tuning,,180,3,41
532,Naive,D1,Tuning,,180,4,38
533,Naive,D1,Tuning,,180,5,43
534,Naive,D1,Tuning,,180,6,43
535,Naive,D1,Tuning,,180,7,40
536,Naive,D1,Tuning,,180,8,44
537,Naive,D1,Tuning,,180,9,48
538,Naive,D1,Tuning,,180,10,38
539,Naive,D1,Tuning,,180,11,38
540,Naive,D1,Tuning,,180,12,56
541,Naive,D1,Tuning,,180,13,40
542,Naive,D1,Tuning,,180,14,35
543,Naive,D1,Tuning,,180,15,43
544,Naive,D1,Tuning,,180,16,38
545,Naive,D1,Tuning,,180,17,33
546,Naive,D1,Tuning,,180,18,49
547,Naive,D1,Tuning,,180,19,50
548,Naive,D1,Tuning,,180,20,43
549,Naive,D1,Tuning,,180,21,40
550,Naive,D1,Tuning,,180,22,43
551,Naive,D1,Tuning,,180,23,38
552,Naive,D1,Tuning,,180,24,28
553,Naive,D1,Tuning,,180,25,45
554,Naive,D1,Tuning,,180,26,24
555,Naive,D1,Tuning,,180,27,44
556,Naive,D1,Tuning,,180,28,17
557,Naive,D1,Tuning,,180,29,17
558,Naive,D1,Tuning,,180,30,25
559,Naive,D1,Tuning,,210,0,18
560,Naive,D1,Tuning,,210,1,40
561,Naive,D1,Tuning,,210,2,42
562,Naive,D1,Tuning,,210,3,44
563,Naive,D1,Tuning,,210,4,46
564,Naive,D1,Tuning,,210,5,45
565,Naive,D1,Tuning,,210,6,40
566,Naive,D1,Tuning,,210,7,45
567,Naive,D1,Tuning,,210,8,46
568,Naive,D1,Tuning,,210,9,45
569,Naive,D1,Tuning,,210,10,56
570,Naive,D1,Tuning,,210,11,41
571,Naive,D1,Tuning,,210,12,51
572,Naive,D1,Tuning,,210,13,51
573,Naive,D1,Tuning,,210,14,57
574,Naive,D1,Tuning,,210,15,46
575,Naive,D1,Tuning,,210,16,45
576,Naive,D1,Tuning,,210,17,43
577,Naive,D1,Tuning,,210,18,42
578,Naive,D1,Tuning,,210,19,49
579,Naive,D1,Tuning,,210,20,36
580,Naive,D1,Tuning,,210,21,36
581,Naive,D1,Tuning,,210,22,41
582,Naive,D1,Tuning,,210,23,44
583,Naive,D1,Tuning,,210,24,45
584,Naive,D1,Tuning,,210,25,38
585,Naive,D1,Tuning,,210,26,29
586,Naive,D1,Tuning,,210,27,21
587,Naive,D1,Tuning,,210,28,19
588,Naive,D1,Tuning,,210,29,23
589,Naive,D1,Tuning,,210,30,19
590,Naive,D1,Tuning,,240,0,23
591,Naive,D1,Tuning,,240,1,33
592,Naive,D1,Tuning,,240,2,45
593,Naive,D1,Tuning,,240,3,44
594,Naive,D1,Tuning,,240,4,43
595,Naive,D1,Tuning,,240,5,43
596,Naive,D1,Tuning,,240,6,39
597,Naive,D1,Tuning,,240,7,39
598,Naive,D1,Tuning,,240,8,39
599,Naive,D1,Tuning,,240,9,42
600,Naive,D1,Tuning,,240,10,52
601,Naive,D1,Tuning,,240,11,49
602,Naive,D1,Tuning,,240,12,38
603,Naive,D1,Tuning,,240,13,38
604,Naive,D1,Tuning,,240,14,41
605,Naive,D1,Tuning,,240,15,44
606,Naive,D1,Tuning,,240,16,36
607,Naive,D1,Tuning,,240,17,44
608,Naive,D1,Tuning,,240,18,37
609,Naive,D1,Tuning,,240,19,45
610,Naive,D1,Tuning,,240,20,50
611,Naive,D1,Tuning,,240,21,45
612,Naive,D1,Tuning,,240,22,37
613,Naive,D1,Tuning,,240,23,45
614,Naive,D1,Tuning,,240,24,26
615,Naive,D1,Tuning,,240,25,40
616,Naive,D1,Tuning,,240,26,20
617,Naive,D1,Tuning,,240,27,25
618,Naive,D1,Tuning,,240,28,29
619,Naive,D1,Tuning,,240,29,20
620,Naive,D1,Tuning,,240,30,17
621,Naive,D1,Tuning,,270,0,40
622,Naive,D1,Tuning,,270,2,30
623,Naive,D1,Tuning,,270,3,56
624,Naive,D1,Tuning,,270,4,55
625,Naive,D1,Tuning,,270,5,49
626,Naive,D1,Tuning,,270,6,42
627,Naive,D1,Tuning,,270,7,42
628,Naive,D1,Tuning,,270,8,45
629,Naive,D1,Tuning,,270,9,46
630,Naive,D1,Tuning,,270,10,49
631,Naive,D1,Tuning,,270,11,54
632,Naive,D1,Tuning,,270,12,47
633,Naive,D1,Tuning,,270,13,44
634,Naive,D1,Tuning,,270,14,34
635,Naive,D1,Tuning,,270,15,43
636,Naive,D1,Tuning,,270,16,44
637,Naive,D1,Tuning,,270,17,48
638,Naive,D1,Tuning,,270,18,58
639,Naive,D1,Tuning,,270,19,56
640,Naive,D1,Tuning,,270,20,39
641,Naive,D1,Tuning,,270,21,43
642,Naive,D1,Tuning,,270,22,50
643,Naive,D1,Tuning,,270,23,49
644,Naive,D1,Tuning,,270,24,48
645,Naive,D1,Tuning,,270,25,40
646,Naive,D1,Tuning,,270,26,45
647,Naive,D1,Tuning,,270,27,31
648,Naive,D1,Tuning,,270,28,31
649,Naive,D1,Tuning,,270,29,34
650,Naive,D1,Tuning,,270,30,34
651,Naive,D1,Tuning,,300,0,18
652,Naive,D1,Tuning,,300,1,33
653,Naive,D1,Tuning,,300,2,42
654,Naive,D1,Tuning,,300,3,38
655,Naive,D1,Tuning,,300,4,45
656,Naive,D1,Tuning,,300,5,53
657,Naive,D1,Tuning,,300,6,46
658,Naive,D1,Tuning,,300,7,46
659,Naive,D1,Tuning,,300,8,43
660,Naive,D1,Tuning,,300,9,47
661,Naive,D1,Tuning,,300,10,47
662,Naive,D1,Tuning,,300,11,41
663,Naive,D1,Tuning,,300,12,54
664,Naive,D1,Tuning,,300,13,55
665,Naive,D1,Tuning,,300,14,36
666,Naive,D1,Tuning,,300,15,40
667,Naive,D1,Tuning,,300,16,46
668,Naive,D1,Tuning,,300,17,45
669,Naive,D1,Tuning,,300,18,49
670,Naive,D1,Tuning,,300,19,53
671,Naive,D1,Tuning,,300,20,53
